# code	word	layer	freq_score
# generated by wubi-build-weights — DO NOT EDIT BY HAND. Regenerate via:
#   cargo run --features tools --release --bin wubi-build-weights
adwq	夦	0	0
adwq	𧡪	0	0
adwr	斯	0	40077
adwr	𢮜	0	0
adws	棊	0	8688
adws	若何	1	9834
adws	𣚄	0	0
adwt	其余	1	28284
adwt	尠	0	0
adwt	欺侮	1	17424
adwt	蓁	0	13720
adwt	𢾤	0	0
adwt	𤯑	0	0
adwu	其	0	40017
adwu	𧃵	0	0
adwv	𠔡	0	0
adwv	𡠧	0	0
adwv	𡢁	0	0
adww	㰼	0	0
adww	匧	0	0
adww	欺	0	28853
adww	歁	0	0
adww	莢	0	11850
adww	𠔶	0	0
adww	𣤘	0	0
adww	𤻓	0	0
adwx	期货	1	21563
adwx	𦴓	0	0
adwy	諅	0	0
adwy	𧬊	0	0
adwy	𨿣	0	0
adx	茏	3	15188
adxa	苦练	1	17981
adxb	茏	0	15188
adxc	苦经	1	10489
adxg	基线	1	14243
adxh	荐引	1	0
adxq	期约	1	14483
adxt	期终	1	10269
adxx	藕丝	1	11561
adya	苦度	1	0
adye	𦺫	0	0
adyf	苦读	1	15492
adyg	藏语	1	17495
adyk	勘误	1	0
adyk	苦衷	1	20038
adyl	甚为	1	16248
adyl	葢	0	6243
adyl	𧁷	0	0
adym	基调	1	22099
adyn	期房	1	0
adyn	期望	1	30569
adyo	苦恋	1	7758
adyq	基底	1	18485
adyt	期许	1	18966
adyt	欺诈	1	23815
adyt	荗	0	0
adyt	藏族	1	20936
adyu	若说	1	15414
adyu	𠀪	0	0
adyw	基座	1	20710
adyy	斯文	1	22754
ae	菜	4	33186
aeaa	散工	1	15899
aeai	散落	1	21841
aeaj	藤蔓	1	15919
aeal	藤萝	1	13024
aean	菜蔬	1	12779
aean	𦾻	0	0
aeas	𦼶	0	0
aeaw	菜花	1	17838
aeb	艿	3	10620
aebb	藤子	1	15072
aebc	菔	0	9736
aebe	𧄙	0	0
aebf	莩	0	7256
aebj	𦰢	0	0
aebm	散出	1	14868
aebn	散了	1	25481
aeca	散戏	1	0
aecb	萉	0	0
aecl	萾	0	0
aecn	薍	0	0
aecu	𦭼	0	0
aede	莫须有	1	17508
aedf	𦮘	0	0
aedh	散在	1	19792
aedm	散布	1	24270
aedm	蕦	0	0
