loaded 1845 rows across 6 chars

=== verdict tally (1845 rows) ===
  UNCERTAIN         :  1579  ( 85.6%)
  LIKELY_SPURIOUS   :   133  (  7.2%)
  SPURIOUS          :   117  (  6.3%)
  LEGITIMATE        :    16  (  0.9%)

=== verdict by source char ===
  地: {'LEGITIMATE': 8, 'UNCERTAIN': 573, 'SPURIOUS': 37, 'LIKELY_SPURIOUS': 85}
  得: {'UNCERTAIN': 626, 'LEGITIMATE': 1, 'LIKELY_SPURIOUS': 23}
  的: {'UNCERTAIN': 101, 'SPURIOUS': 80, 'LIKELY_SPURIOUS': 7}
  了: {'LEGITIMATE': 4, 'UNCERTAIN': 222, 'LIKELY_SPURIOUS': 18}
  谁: {'LEGITIMATE': 2, 'UNCERTAIN': 57}
  那: {'LEGITIMATE': 1}
char	wrong_code	word	freq	primary	verdict	note
地	lingde	岭地	9850	lingdi	UNCERTAIN	single-char prefix '岭' + 助词 (likely legitimate N+助词,但 ambiguous)
地	minruide	敏锐地	9849	minruidi	UNCERTAIN	2-char prefix '敏锐' + 助词 (V+助词 or 2-char N+助词)
地	paode	刨地	9667	paodi	UNCERTAIN	single-char prefix '刨' + 助词 (likely legitimate N+助词,但 ambiguous)
地	deanmen	地安门	9623	dianmen	UNCERTAIN	default
地	qianchengde	虔诚地	9619	qianchengdi	UNCERTAIN	2-char prefix '虔诚' + 助词 (V+助词 or 2-char N+助词)
地	deguang	地光	9513	diguang	UNCERTAIN	default
地	liede	劣地	9496	liedi	UNCERTAIN	single-char prefix '劣' + 助词 (likely legitimate N+助词,但 ambiguous)
地	xixide	细细地	9425	xixidi	SPURIOUS	重叠副词 '细细' + 助词
地	gedefengsu	各地风俗	9370	gedifengsu	UNCERTAIN	default
地	guozaode	过早地	9185	guozaodi	UNCERTAIN	2-char prefix '过早' + 助词 (V+助词 or 2-char N+助词)
地	degeng	地耕	9146	digeng	UNCERTAIN	default
地	dexiao	地效	9014	dixiao	UNCERTAIN	default
地	dekeng	地坑	9012	dikeng	UNCERTAIN	default
